;Texto_tweet;valoracion_corpus;valoracion_calculada;Palabras_encontradas
417;Una trabajadora social de MSF ayuda a los niños a seguir con su rutina escolar en nuestra clínica en  por eso Nadler  en la foto   de 12 años  puede continuar con sus ejercicios de escritura y lectura ;1.0;0.0;
418;Un poco de humor entre tanta pérdida ;1.0;-1.0; perd(-1.0)
419;Que bonita España cuando votas bien;1.0;0.0;
420;Arya es la puta ama;1.0;0.0;
421;El mejor episodio de la puta historia de Juego de Tronos ha sido el de hoy y punto ;1.0;0.0; mejor(1.0) tron(-1.0)
422;nunca llegue a visitar tan grandiosa construcción  Solo vista en imágenes y videos  ;-1.0;0.0;
423;dando cátedra de cómo anotar un tiro libre  Leo llega a los 600 goles com y lo hace en la con uno de altura  Su primer gol fue el 1 de mayo de 2005  14 años exactamente después el número 600 ;1.0;0.0;
424;Ya es hora  el pais hoy se levanta con mas fuerza que nunca  todos juntos con un solo objetivo el cese de la usurpacion;1.0;0.0; fuerz(1.0) ces(-1.0)
425;MADRE MÍA MESSI Qué bonito tiro libre;1.0;0.0;
426;lo mejor de no tener spoilers de los capítulos es no haber visto ni uno solo de toooda la serie  así ya ni se de que hablan  ya cuando acabe pues empiezo a verla;1.0;0.0; mejor(1.0) no(0.0) no(0.0) seri(-1.0)
427;Hoy puedo decir que sí que me siento orgullosa de España  aunque esos 24 escaños que ha sacado VOX me preocupan ;1.0;-1.0; preocup(-1.0)
428;Adoro los dias de pero más cuando juega mi equipo;1.0;0.0;
429;Ni pensar que ustedes alguna vez gozaron de prestigio y aceptación  Venevision  Televen y Gobovision  Que pena;-1.0;1.0; goz(1.0) prestigi(1.0) pen(-1.0)
430;y como siempre ni un digital recibiré;-1.0;0.0;
431;Siempre fue mi personaje favorito Muy épico todo  joder  Yo con este subidón post capítulo a ver cómo consigo dormirme;1.0;0.0;
432;Gracias a todos los que hoy me habéis acompañado ;1.0;0.0;
433;Qué tolerantes somos todos mientras ganen los nuestros ;-1.0;1.0; gan(1.0)
434;CAMPEEONEESSS CAAAMPEEEONESS OLÉ OLÉ OLÉ;1.0;0.0;
435;No sabes lo pobres que eres hasta que te das cuenta que está ardiendo la Catedral de y tu no la alcanzaste a conocer  Bueno no conoces ni la Basílica de la cdmx;-1.0;0.0; no(0.0) pobr(-1.0) no(0.0) buen(1.0) no(0.0)
436;Liga Copa del Rey Champions Vamos a por ese triplete jodeeeerrr;1.0;0.0;
437;Yo pondría a jugar a Raúl de Tomás;1.0;0.0;
438;Messi hijo de puta  te amo  ven te beso tu pie izquierdo;1.0;0.0;
439;5 libros para quienes aman viajar por el mundo;1.0;0.0;
440;GOLAZO del Lionel la clavó al ángulo luego de un tiro libre fantástico  3 0;1.0;0.0;
441;Aún me queda fe en la sociedad española después de estas;1.0;0.0;
442;No termines el sin haber comprado literatura de combate Puedes consultar nuestro catálogo en nuestra página web  así como consultar precios y leer breves descripciones de los materiales  No lo dudes y compra;1.0;0.0; no(0.0) no(0.0)
443;Qué pinches nervios Visca Barça;1.0;-1.0; nervi(-1.0)
444;En la oficina siempre me acompañan algunos de mis libros  Son una montaña de recuerdos y vivencias ;1.0;0.0;
445;Pensar que decian no les gustaba Vidal porque pasaba expulsado  La clase  talento  categoría y espíritu de combate que tiene  lo hacen un fuera de serie ;1.0;-1.0; no(0.0) gust(1.0) expuls(-1.0) seri(-1.0)
446;Les da tristeza y les da felicidad Los goles de Messi en el  Llueven tweets  Somos divinos;1.0;0.0; tristez(-1.0) felic(1.0)
447;Fue Una Linda Tarde De;1.0;0.0;
448;básicos  Si se manifiestan son atacados por gases  balas  atropellados  Es muy triste lo que están viviendo  Mi apoyo incondicionala por una Venezuela Libre ;-1.0;0.0; trist(-1.0) viv(1.0)
449;Muy orgulloso de mis colores Blaugranas Muy orgulloso de todo el equipo;1.0;0.0;
450;El frenesí sonríe al Barça;1.0;0.0;
451;10 Messi campeón de liga 2018 2019  Un nuevo título para;1.0;0.0;
452;81  30 GOOOOOOOLAZO de que marca el tercero de tiro libre  Siga nuestro minuto a minuto acá;1.0;0.0;
453;Nadie ha matado al rey nocturno  Team Arya;1.0;-1.0; mat(-1.0)
454;yo si veo al barsa favorito por que hoy he visto que dios es del barsa;1.0;0.0;
455;En 8 minutos Messi resolvió el encuentro  30;1.0;0.0;
456;Esta imagen me resultó fantástica;1.0;0.0;
457;No toca mas que ver la la chaaaaampions porque por su culpa no me pude ir al feriado;-1.0;0.0; no(0.0) no(0.0)
458;y para mi magnifica combinación;1.0;0.0;
459;Gracias Equipo Visca el Barça 26;1.0;0.0;
460;No sé si pensáis cómo yo  pero ha sido la puta caña  pero me da a mi que para la próxima batalla  no quedarán tantos héroes ni heroínas  nos tiene preparado algo muuu gordo  y cruel ;1.0;-1.0; no(0.0) no(0.0) her(-1.0) gord(-1.0) cruel(-1.0)
461;De acuerdo con los resultados del Módulo de Lectura  MOLEC  de 2019  hay una disminución de la población lectora de libros en México  pues ha pasado de 50  2 en 2015  a 45  9 en 2016  45  3 en 2017  45  1 en 2018 y 42  2 este año;-1.0;0.0;
462;Gracias un nuevo título para el puto amo del fútbol mundial ;1.0;0.0;
463;Para alcanzar lo imposible  uno debe intentar lo absurdo ;1.0;0.0;
464;Obvio  también recomiendo libros sobre ColoColo  El mejor es Por empuje y coraje  pero no se encuentra en librerías  ;-1.0;1.0; mejor(1.0) empuj(1.0) no(0.0)
465;CAMPEONES DE ESPAÑA Con gol de Messi  derrota 10 al para coronarse en Vía ;1.0;-1.0; derrot(-1.0)
466;Como atacó la pelota  mérito absoluto del delantero;1.0;0.0;
467;La mejor película de superheroes que he visto en mi puta vida  y se acaba  diría la serie que he visto con mayor hype de mi vida  y se acaba  En esta época de Abril y Mayo se me acaban los caramelos ;1.0;0.0; mejor(1.0) seri(-1.0)
468;única excepcional quede en Shock cuando la Vi aparecer para acabar con el rey de la noche Épico sencillamente épico este 3 episodio de GOT;1.0;-1.0; shock(-1.0) got(-1.0)
469;Messi el de los goles imposibles en Europa por que acá ya lo conocen muy bien;1.0;0.0;
470;No he sufrido más porque no se puede  pero Arya te amo ;1.0;-1.0; no(0.0) sufr(-1.0) no(0.0)
471;Golpe brutal del Barça buscando esa final  estupendo resultado pero aún falta la vuelta  0 confiarse  Vamos  VAMOS BARÇA;1.0;-1.0; golp(-1.0) brutal(-1.0) estupend(1.0) falt(-1.0) confi(1.0)
472;Messi es el puto amo;1.0;0.0;
473;A menos de 24 para el 8x03 de solo puedo decir una cosa  AHORA SÍ QUE SI ;1.0;-1.0; men(-1.0)
474;Que Pablo Casado no quiere dar declaraciones tras el pésimo resultado en las elecciones del PP;1.0;-1.0; no(0.0) pesim(-1.0)
475;Mi energía positiva para que sea libre y reine la Paz ;1.0;0.0;
476;Me encanta ver Génova así Vacío  por fin se les está dando un escarmiento No más robos;1.0;-1.0; encant(1.0) vaci(-1.0) no(0.0) rob(-1.0)
477;Orgullosa muy orgullosa  LA TUMBA DE FASCISMO;1.0;-1.0; tumb(-1.0)
478;Lo que más me gusta del capítulo nuevo de juego de tronos es que no deja a nadie indiferente  O te encanta o lo odias  por lo que estoy viendo ;1.0;0.0; gust(1.0) tron(-1.0) no(0.0) encant(1.0) odi(-1.0)
479;Quiero ver mil veces mas el capítulo de te;1.0;0.0;
480;lt  3 esa sensación de leer una historia de terror  lt  3;1.0;0.0;
481; Amigos fieles  Siempre atentos a mis estados de ánimo  Siempre pendientes de mis inquietudes  Siempre disponibles para saciar mis ansias  Siempre dispuestos a abrir sus páginas y ofrecerme su consuelo ;1.0;0.0; anim(1.0) inquietud(-1.0) saci(1.0) ansi(-1.0)
482;En el recuerdo que tiene años que no termino un libro completo  Que triste ;-1.0;0.0; no(0.0) complet(1.0) trist(-1.0)
483;Diría que es de los edificios más bonitos que he visitado   por tradición  historia  es una verdadera joya  El alma rota viendo lo que le pasó   ;-1.0;0.0;
484; es el camino y va 10   Quién más que podía darle al el gol del título   El lo volvió a hacer  GRACIAS  los demás a las duchas ;1.0;0.0;
485;Orando por el pueblo venezolano y una;-1.0;0.0;
486;No puedo con esto  no estaba preparada;-1.0;0.0; no(0.0) no(0.0)
487;Gol de falta de mejor jugador de la actualidad y de todos los tiempos ;1.0;0.0; falt(-1.0) mejor(1.0)
488;Solo se puede decir INCREÍBLE E HISTÓRICA ;1.0;0.0;
489;Emmanuel Macron   Se ha evitado lo peor  aunque la batalla no se ha ganado del todo  Gracias a  a la  valentía  de los bomberos  se han salvado las torres y la fachada  ;1.0;0.0; evit(-1.0) no(0.0) gan(1.0)
490;Un país libre y sin miedos  Gracias España ElecccionesGenerales28A;1.0;-1.0; mied(-1.0)
491;Te leo un pedacito de uno de mis libros favoritos  querida Yolanda ;1.0;0.0;
492;IMPRESIONANTE ganó 30 al con doblete de Lionel y gol de  Los catalanes tienen un pie en la final de Madrid ;1.0;0.0; impresion(-1.0) gan(1.0)
493;Hoy si me siento orgulloso de este país ;1.0;0.0;
494;Talvez no debería iconizar a  pero es una jóven mujer tan valiente  inteligente e inspiradora  que no puedo más que decir que soy su fan  Me motiva a hacer más por nuestro planeta ;1.0;0.0; no(0.0) no(0.0)
495;Es triste que un pais tan hernoso y Noble como tenga que pasar por esta situacion  donde cada quien lucha por sus propios intereses utilizando al pueblo como carne de cañón ;-1.0;1.0; trist(-1.0) propi(1.0) interes(1.0)
496;Que orgullosa estoy de vosotr  compañer  Sobran las palabras ;1.0;0.0;
497;Pues a pesar de todo está quedando una bonita noche ;1.0;-1.0; pes(-1.0)
498;Orgullosa esta vez de mi tierra  Galicia  que deja atrás el manido y tedioso azul con el que siempre se le ha vestido  Este giro es el comienzo que nos hará resurgir y mirar al futuro ;1.0;-1.0; atras(-1.0)
499;El gol de Tiro libre de Messi me hizo gritar  y conste no soy fan del futbol  Sin duda fue genial ;1.0;-1.0; grit(-1.0) no(0.0)
500;VIDEO Si nos buscan en las CALLES  en la calles nos van a conseguir  Hoy ratificamos  desde Miraflores  máxima lealtad al presidente  y a la Constitución de  SEGUIMOS VENCIENDO;1.0;-1.0; call(-1.0) call(-1.0) venc(1.0)
501;Fracasa el mensaje de odio  Fracasan los matones  A España le queda decencia y dignidad  Esperemos que al PSOE también ;1.0;-1.0; fracas(-1.0) odi(-1.0) fracas(-1.0) dignid(1.0)
502;Mi madre  No vas a ver  Yo  Ya lo he visto No iba a perder el tiempo;1.0;-1.0; no(0.0) no(0.0) perd(-1.0)
503;Eres la puta ama arya te amo;1.0;0.0;
504;Este Barça está jugando como se debe  con furia y garra  Deberían caer más goles ;1.0;-1.0; caer(-1.0)
505;Me encanta ver a los fachas rabiar;1.0;0.0; encant(1.0) rabi(-1.0)
506;Ayer q fuimos un ratito en el yate a ver a;1.0;0.0;
507;Los nervios merecieron la pena  parece que nos hemos concienciado y no queremos volver al siglo pasado;1.0;-1.0; nervi(-1.0) pen(-1.0) no(0.0)
508;Café y Fútbol  vs Leg 1;1.0;0.0;
509;Hoy quiero felicitar a uno de mis escritores favoritos  un ejemplo de tenacidad y constancia de como seguir escribiendo aunque nadie te lea mi querido;1.0;0.0;
510;Parece que va ya a cerrar tramas a piñón  y eso me gusta  que después se queda la cosa como con Perdidos y nos dejan cara de tontos ;1.0;-1.0; cerr(-1.0) gust(1.0) perd(-1.0)
511;Messi es el mejor de la historia porque no deja morir el futbol  No lo pienso discutir;1.0;0.0; mejor(1.0) no(0.0) mor(-1.0) no(0.0)
512;Parece que lo hemos logrado Pero a falta de terminar el escrutinio  demasiados escaños tienen los fascistas Mañana y pasado y el otro tenemos que continuar la lucha Fuera el fascismo de nuestras instituciones porque no es democrático ElecccionesGenerales28A;1.0;0.0; logr(1.0) falt(-1.0) no(0.0)
513;Desde siempre he visto como una obra maravillosa de la arquitectura  no como algo relacionado con un dogma de fe  Mi pesar es por lo primero  nada más ;-1.0;0.0; maravill(1.0) no(0.0) pes(-1.0)
514;hola buenísimos días hoy juega el Barça;1.0;0.0;
515;Si llega a ganar VOX y el rey de la noche el mismo día  este si que hubiera sido un lunes realmente negro ;-1.0;0.0; gan(1.0) negr(-1.0)
516;2  El q lo relata y disfruta d esa manera con tremenda joya Un abrazo de GOL;1.0;0.0; disfrut(1.0) tremend(-1.0)
517;Nervios y ansiedad a FULL YA QUE EMPIECE EL PARTIDO ;1.0;-1.0; nervi(-1.0) ansied(-1.0)
518;Pudiste ser el mejor villano de la historia  pero los guionistas no quisieron y te desperdiciaron;-1.0;1.0; mejor(1.0) no(0.0)
519;Se va a quedar esto hecho un solar  válgame ;-1.0;0.0;
520;Los memes de esta noche me están dando la vidaaaaaaa;1.0;0.0;
521;Vidal nunca pasará desaparecido  Si está de tu lado lo amas  si está del otro lo odias  deja todo  nunca se guarda nada  Figura ;1.0;-1.0; odi(-1.0)
522;Restaurando fe en la humanidad  de España  después de las elecciones;1.0;0.0;
523;lamentable que políticos de la izquierda española defiendan el régimen totalitario de Maduro;-1.0;0.0;
524;GOLAZO DEL MÁS GRANDE DEL MUNDO DON LIO SOLO ÉL ;1.0;0.0; grand(1.0) don(-1.0)
525;Riguroso análisis electoral en mi curro  han salido los tuyos o que  No  no están ni en la lista esa que daba la tele  joder  FIN;-1.0;0.0; no(0.0) no(0.0)
526;Un estadio rendido a su zurda intelectual  Único  El mejor  Nuestro;1.0;0.0; rend(-1.0) mejor(1.0)
527;Habeis dejado sin sueldo a Maroto  Os quiero ;1.0;0.0;
528;Un abrazo a todos mis en este;1.0;0.0;
529;Apurando el me gustaría recomendar todo el material de Duane Michals  En los pies de foto de sus fotografías se encuentran historias fantásticas muy humanas en las que podemos  observar sus pensamientos   Un genio ;1.0;0.0; apur(-1.0) gust(1.0)
530;He aplaudido  he vibrado y hasta me he emocionado  Vaya épica la del episodio de  Juego de Tronos   y qué necesarios los dos anteriores capítulos para que este funcione tan bien;1.0;0.0; aplaud(1.0) tron(-1.0)
531;España  te quiero  gracias por frenar a la derecha del odio y la división;1.0;-1.0; odi(-1.0)
532;ME DEDICO ESTE TITULO DE A MI MISMA EN MI CUMPLEAÑOS  GRACIAS DE NUEVO;1.0;0.0;
533;España se une y dice no al racismo  a la xenofobia  al machismo  a la homofobia  en definitiva  no al odio  al miedo y a la involución  Y yo  por primera vez en años  me siento orgullosa ;1.0;-1.0; no(0.0) no(0.0) odi(-1.0) mied(-1.0)
534;Sé que en la serie no lo nombran  pero Arya como Azor Ahai;1.0;-1.0; seri(-1.0) no(0.0)
535;El pueblo de y su gobierno legítimo han dado una nueva lección al mundo de que no son lo que los medios extranjeros cuentan sobre ellos ;1.0;0.0; no(0.0)
536;El pueblo de ha sabido hacer frente a las agresiones del imperialismo y salir nuevamente victorioso ante este intento de Golpe de Estado  ese es el pueblo de Bolivar y Chavez y e Cuba siempre estará a su lado  ;1.0;0.0; victori(1.0) golp(-1.0)
537;Increíblemente triste lo que está pasando en Espero que encuentren la paz que tanto merecen  El pueblo unido hace la fuerza para el renacer de su país  Animo desde México ;-1.0;1.0; trist(-1.0) fuerz(1.0) renac(1.0) anim(1.0)
538;Las imágenes que llenan de tristeza al mundo  Un argentino grabó el momento exacto en que caía la aguja ;-1.0;0.0; llen(1.0) tristez(-1.0)
539;Pues me da cosita que no vean la original mis hijos  aunque seguro que verán una espléndida reconstrucción  A ver lo que queda  Uf ;-1.0;1.0; no(0.0) segur(1.0)
540;Hoy me siento orgulloso de mi país  así sí;1.0;0.0;
541;Yo he votado con el corazón  con ilusión y pensando en el futuro de mis hijos;1.0;0.0;
542;Hoy más que nunca me siento orgullosa de mi país y de su gente  Ante el odio y el miedo hemos peleado con uñas y dientes con una papeleta como única arma  Claro que se puede;1.0;-1.0; odi(-1.0) mied(-1.0) pel(-1.0)
543;Enhorabuena Barca Que manera de sufrir los últimos minutos pero como los amo Campeones más que merecidos;1.0;-1.0; sufr(-1.0)
544;Entre y fue un fin de semana brutal;1.0;-1.0; brut(-1.0)
545; Amo la soledad de leer  amo zambullirme en la historia de un buen libro  amo el delicioso dolor de la última página ;1.0;0.0; soled(-1.0) buen(1.0) delici(1.0) dolor(-1.0)
546;El mejor capítulo de la historia de la televisión  Una tensión  un ritmo y un dramatismo inalcanzables ;1.0;0.0; mejor(1.0) dramat(-1.0)
547;q loco lindo que sos Jordi Alba;1.0;-1.0; loc(-1.0) sos(-1.0)
548;Aisss que emoción ya el nuevo capítulo de juego de tronos  esta todo en juego en la gran batalla  Esto ha de ser una corrida;1.0;-1.0; tron(-1.0)
549;EL REY DE 10 títulos para Leo Messi en 15 campeonatos españoles disputados defendiendo la camiseta del Barcelona;1.0;-1.0; disput(-1.0)
550;Creo que hoy va a ser una de esas noches que este país nos va a hacer sentir orgullosos;1.0;-1.0; sent(-1.0)
551;Gracias España por no ser fascista  GRACIAS ;1.0;0.0; no(0.0)
552;Quieres que las circunstancias cambien  pero  qué estás haciendo para lograrlo  No se trata de quejarse  Jesús quiere que seas influencia y trabajes por Venezuela  No caigas en la desesperanza  atrévete a creer por tus sueños y por los de tu nación  Oremos por;1.0;0.0; cambi(1.0) logr(1.0) no(0.0) quej(-1.0) no(0.0) desesper(-1.0)
553;Que bien sienta saber que Vox no va a decidir por mí  gracias a todos por evitarlo;1.0;0.0; bien(1.0) no(0.0) evit(-1.0)
554;Solidaridad y agradecimiento para  Un venezolano que nunca ha bajado los brazos en la lucha por la;1.0;-1.0; baj(-1.0)
555;Morata  Orgulloso de defender estos colores  espero hacerlo muchos años ;1.0;0.0;
556;Qué opino del incendio de la Iglesia  Una iglesia menos para la corrupción y pederastía católica ;1.0;-1.0; incendi(-1.0) men(-1.0)
557;Arya no te merecemos  perdón por tan poco;-1.0;0.0; no(0.0)
558;Algunos de mis libros  10 años  El Llano en llamas 11 años  El Diosero 13 años  El lobo estepario 14 años  La metamorfosis 15 años  Un mundo feliz Y de ahí pa  adelante  no he parado;1.0;0.0; estepari(-1.0) feliz(1.0) no(0.0)
559;Lo que ganamos ahora  lo perdemos después en INVERNALIA ;-1.0;0.0; gan(1.0) perd(-1.0)
560;La santa corona de espinas es salva;1.0;0.0;
561;Gracias a tooooodas las personas que me dijeron que viera juego de tronos  Jodidamente espectacular y aun quedan capítulos ;1.0;-1.0; tron(-1.0)
562;Te odio pero que golazo;1.0;-1.0; odi(-1.0)
563;Gracias a Dios Las llamas de este incendio fueron controladas Mucha fuerza Pronto volveremos a ver brillar esta hermosa estructura que peores momentos se ha enfrentado;1.0;0.0; incendi(-1.0) fuerz(1.0) hermos(1.0) enfrent(-1.0)
564;La ciudadanía nos ha dado el apoyo porque siempre hemos intentado dar voz a todos los problemas que las y los tinerfeños nos han transmitido ;1.0;0.0;
565;CAMPEONES  CAMPEONES  OLÉ  OLÉ  OLÉ;1.0;0.0;
566;Llega la hora de la verdad vamos ;1.0;0.0;
567;Lo de Messi ha sido increíble;1.0;0.0;
568;8 títulos en 11 años Su título número 26 Enhorabuena al Barça Campeón de;1.0;0.0;
569;Edd el penas  el lord comandante 1000  deja su guardia y descansa con sus otros hermanos juramentados de la guardia de la noche que ya no vieron la luz del día ;-1.0;0.0; pen(-1.0) descans(1.0) no(0.0)
570;en el y lee que es unos de los placeres de la vida y es gratis jajaj;1.0;0.0;
571;El día que la extrema derecha moviliza la izquierda durante las me hace atisbar una pizca de fe en la gente ;1.0;0.0;
572;Messi no para de sorprender  Es tan impresiomante que genera adoración en el director técnico rival  Gol de otro mundo  como de costumbre ;1.0;-1.0; no(0.0) rival(-1.0)
573;La sonrisa infantil de Lionel Messi  Ha sido un año de ver constantemente al argentino en una faceta más natural  En cierra así ;1.0;0.0; sonris(1.0) cierr(-1.0)
574;Lo gracioso es que me he levantado una hora tarde  Gracias por la opción de darle marcha atrás  Sin palabras  Quien haya visto el episodio ;1.0;0.0; gracios(1.0) atras(-1.0)
575;Cuando acabe la temporada 8 de voy a ver la serie entera  no de golpe  jajajaja   Alguien más piensa hacerlo ;1.0;-1.0; seri(-1.0) no(0.0) golp(-1.0)
576;yo living viendo que la derecha está perdiendo;1.0;-1.0; perd(-1.0)
577;DE AQUI SALE EL CAMPEON DE LA;1.0;0.0;
578;Para mi siempre será un placer enorme escuchar a Don Mil gracias por buscar la manera de mantenernos informados y no dejarse amedrentar por los que quieren tenerlo en silencio  Dios lo bendiga;1.0;-1.0; plac(1.0) don(-1.0) no(0.0) silenci(-1.0)
579;Y ahora quién se duerme    Puto subidón;1.0;0.0;
580;Oigan  qué bonito es el fut;1.0;0.0;
581;Hace tiempo trabajé con un venezolano  muy bueno en sistemas  Cada que le preguntábamos de la situacion en su país se ponía un poco triste y nos contaba lo difícil que era vivir allá  Que chingue a su madre Maduro y el América ;-1.0;1.0; buen(1.0) trist(-1.0) viv(1.0)
582;Lo de Lionel Messi no solo es un gol  ES ARTE ;1.0;0.0; no(0.0)
583;Esto SI es historia de España  GRACIAS;1.0;0.0;
584;Ter Stegen evitó el empate;1.0;-1.0; evit(-1.0)
585;Mi profesora acaba de soltar un spoiler de juego de tronos mientras explicaba  me meo;1.0;-1.0; tron(-1.0)
586;GOOOOOOOOOOOL de Sufrir sufrir sufrir   y llega Messi y nos da la vida;1.0;-1.0; sufr(-1.0) sufr(-1.0) sufr(-1.0)
587;Leer es un placer  si lo aprendes desde pequeño es difícil que se te olvide ;1.0;0.0; plac(1.0) olvid(-1.0)
588;Gracias a Dios y a la vida por dejarnos presenciar de este ser de otro universo  Gracias a la vida por Messi  QUE GOLAZO;1.0;0.0;
589;Hoy  saqué a pasear uno de mis favoritos Mi hermosa tercera edición de 1986;1.0;0.0; saqu(-1.0) hermos(1.0)
590;Gracias por demostrarle al mundo que no todo está perdido ;1.0;-1.0; no(0.0) perd(-1.0)
591;Orgullosa de ver cómo mi ciudad se ha vestido de rojo enserio  había tanto miedo porque gobernara la derecha pero tanto y aunque no haya terminado yo ya veo al país de rojo;1.0;-1.0; mied(-1.0) no(0.0)
592;Esto si que es la auténtica Marca España  Gente de todas las edades que apuestan por el futuro y no por la vuelta al pasado ;1.0;0.0; no(0.0)
593;MAGISTRAL  No he escuchado música que pueda explicar tan bien sin palabras lo que sucede en una escena  Pelos de punta ;1.0;0.0; no(0.0) bien(1.0) pel(-1.0)
594;Bueno  la estructura de está a salvo  Hubieron muchos daños  pero se va a poder reconstruir en el mediano largo plazo  Esa es la mejor noticia que podíamos tener al respecto  tampoco hay que dejar que el fatalismo nos consuma ;1.0;-1.0; buen(1.0) reconstru(-1.0) mejor(1.0) fatal(-1.0) consum(-1.0)
595;Extrañando mi rinconcito lleno de libros de diseño  y otras menudencias  ;-1.0;1.0; llen(1.0)
596;Campeones Con solitario gol de el vence al para junto a su gente cantar el alirón y coronarse reyes de;1.0;0.0; solitari(-1.0) venc(1.0)
597;vuelve a ser azulgrana El Barça conquista su título número 26  Brutal;1.0;0.0; conquist(1.0) brut(-1.0)
598;La mejor puta serie de la historia mi heroina te amo dios porque solo quedan 3 capítulos;1.0;0.0; mejor(1.0) seri(-1.0)
599;CAMPIONES Y en su case Barça;1.0;0.0;
600;Y CON USTEDES  UNA OBRA DE ARTE  14 años después de su primer gol oficial y en el mismo día   en una semifinal de y de tiro libre hizo su gol 600  UNA JOYA;1.0;0.0;
601;Hace varios años  un símbolo de la Arquitectura y Cultura  q pena más grande;-1.0;0.0; pen(-1.0) grand(1.0)
602;Gracias por tus palabras y apoyo chimibebe;1.0;0.0;
603;Llovía a mares  pero me miento y cuento que brillaba el sol  ;1.0;0.0;
604;26 títulos de  10 en los últimos 15 años  8 en los últimos 11 años  El Barça  campeón de 2018 19;1.0;0.0;
605;Pero que grande que sos Lio Por eso es que te amo;1.0;0.0; grand(1.0) sos(-1.0)
606;Estoy consternado  No creo poder superarlo jamás  Adiós ;-1.0;0.0; constern(-1.0) no(0.0) super(1.0)
607;Y se ríe el cabrón  JAJAJAJAJA ME MEO;1.0;0.0;
608;Con cosas como la de hoy me siento bastante orgulloso de poder decir que soy español;1.0;0.0;
609;Gracias a Leo Messi  Barcelona se quedo con el título del fútbol español  Llegó a su título número 26  Mira el gol del argentino;1.0;0.0;
610;Hoy vamos por el título de;1.0;0.0;
611;Empieza el 2do tiempo  el árbitro no trajo las tarjetas  cuidado con Liverpool y la velocidad que tienen;-1.0;0.0; no(0.0)
612;Este equipo  y algunas que faltan  se ha echado una campaña muy dura a las espaldas  Enhorabuena campeonas;1.0;-1.0; falt(-1.0) dur(-1.0)
613;Independientemente de lo cada uno haya votado  estoy orgullosa del nivel de movilización que ha habido en estas elecciones ;1.0;0.0;
614;CAMPEONES Ha tocado sufrir  pero ha merecido la pena  Nuestra octava en los últimos once años  Los más grandes Continuamos GRANDE BARÇA VAMOS;1.0;0.0; sufr(-1.0) pen(-1.0) grand(1.0) grand(1.0)
615;MESSI  SIEMPRE MESSI es campeón de al derrotar 10 a Levante  gol de campeonato de ya sabes quien  7 liga en la última década 26 liga  a 7 del  34 título de  10 liga ;1.0;-1.0; derrot(-1.0)
616;Eran padres y abuelos con actitud de arrepentimiento prometiendo a una niña que a partir de ahora se portarán bien  GretaThunberg;-1.0;0.0; arrepent(-1.0) bien(1.0)
617;Extraterrestre Messi  estaba defendiendo y en 2 segundos atacando adelante;1.0;0.0;
618;El juega muy bien y no quiero desmerecer su triunfo de ayer ante los por la pero le hace mucha falta Harry igualmente el demostró un gran juego y es justo ganador  Todo puede pasar;-1.0;1.0; bien(1.0) no(0.0) triunf(1.0) falt(-1.0)
619;Que delantero es Suarez  lucha todas y pelea con todos ;1.0;-1.0; pele(-1.0)
620;Capitulazo  pasarán los años y no creo que volvamos a ver nada parecido a Juego de Tronos  sublime ;1.0;0.0; no(0.0) tron(-1.0) sublim(1.0)
621;Os dais cuenta de que el capítulo apenas ha tenido diálogo y todos estamos hablando de uno de los mejores episodios de la serie  Eso es maestría;1.0;-1.0; apen(-1.0) mejor(1.0) seri(-1.0)
622;Un muy enredado   fácil rival para;1.0;0.0; facil(1.0) rival(-1.0)
623;Hoy si voy a sacar la bandera de España  Orgullosa de este país;1.0;0.0;
624;Agradecemos al público que asistió a la primera charla sobre literatura fantástica y la proyección de la película  Las Crónicas de Narnia  el León  la Bruja y el Armario  y;1.0;-1.0; bruj(-1.0)
625;Señoras y señores  lo conseguimos  Hoy hemos parado a la España más rancia y casposa  gracias a todos ;1.0;0.0;
626;Y despues me preguntan por que lo amo tanto ;1.0;0.0;
627;Una pena ver cómo ardía Les hubiera venido bien la lluvia que caía ayer en;-1.0;0.0; pen(-1.0) bien(1.0)
628;Estoy fascinada  no sé si quiere seguidores  si es que es masoquista o que se dio un golpe de pequeña  me haría gracia si no fuera tan triste  me recuerda a lo de Froilán cuando se pegó un tiro en el pie Os acordáis ;1.0;-1.0; no(0.0) golp(-1.0) no(0.0) trist(-1.0)
629;Feliz al recordar a Rubén Darío hoy;1.0;0.0; feliz(1.0) record(-1.0)
630;Mi grito con lo que hizo Melissandre se oyó en la China  Que emoción;1.0;-1.0; grit(-1.0)
631;Quién dijo que todo está perdido  Yo vengo a ofrecer mi corazón Tanta sangre que se llevó el rí o  Yo vengo a ofrecer mi corazón No será tan fácil  ya sé qué pasa  No será tan simple como pensaba  Como abrir el pecho y sacar el alma  Una cuchillada del amor;1.0;0.0; perd(-1.0) no(0.0) facil(1.0) no(0.0) cuchill(-1.0) amor(1.0)
632;Es la puta mejor serie;1.0;0.0; mejor(1.0) seri(-1.0)
633;Que bueno que conocí antes del incendio ;1.0;0.0; buen(1.0) incendi(-1.0)
634;a leer dragones y aventuras sin fin;1.0;0.0;
635; getrepost  Los libros son mentes que hablan para quienes escuchan y entiendan la eternidad a través de ellos ;1.0;0.0;
636;Arya hija de puta TE AMOOOOOO ;1.0;0.0;
